IDs,"metNames",chebi,kegg,mean,max,min,concs
YMDB02020,"PC(18:3(9Z,12Z,15Z)/P-18:1(9Z))",CHEBI:89412,C00157,1,1,1,1 +/- 0 uM
YMDB02021,"PC(18:4(6Z,9Z,12Z,15Z)/16:0)",CHEBI:89416,C00157,0.019,0.01995,0.01805,0.019 +/- 0.00095 uM
YMDB02022,"PC(18:4(6Z,9Z,12Z,15Z)/18:0)",CHEBI:89420,C00157,1,1,1,1 +/- 0 uM
YMDB02023,"PC(18:4(6Z,9Z,12Z,15Z)/18:1(11Z))",CHEBI:89422,C00157,0.038,0.0399,0.0361,0.038 +/- 0.0019 uM
YMDB02024,"PC(18:4(6Z,9Z,12Z,15Z)/18:1(9Z))",CHEBI:89418,C00157,0.038,0.0399,0.0361,0.038 +/- 0.0019 uM
YMDB02025,"PC(18:4(6Z,9Z,12Z,15Z)/18:2(9Z,12Z))",CHEBI:89419,C00157,0.021,0.02205,0.01995,0.021 +/- 0.00105 uM
YMDB02026,"PC(18:4(6Z,9Z,12Z,15Z)/20:0)",CHEBI:89423,C00157,2,2,2,2 +/- 0 uM
YMDB02027,"PC(18:4(6Z,9Z,12Z,15Z)/20:1(11Z))",CHEBI:89424,C00157,0.772,0.8106,0.7334,0.772 +/- 0.0386 uM
YMDB02028,"PC(18:4(6Z,9Z,12Z,15Z)/20:2(11Z,14Z))",CHEBI:89425,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB02029,"PC(18:4(6Z,9Z,12Z,15Z)/22:0)",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02030,"PC(18:4(6Z,9Z,12Z,15Z)/22:1(13Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02031,"PC(18:4(6Z,9Z,12Z,15Z)/24:0)",CHEBI:89431,C00157,0.006,0.0063,0.0057,0.006 +/- 0.0003 uM
YMDB02032,"PC(18:4(6Z,9Z,12Z,15Z)/P-16:0)",CHEBI:89428,C00157,0.019,0.01995,0.01805,0.019 +/- 0.00095 uM
YMDB02033,"PC(18:4(6Z,9Z,12Z,15Z)/dm18:0)",CHEBI:89429,C00157,1,1,1,1 +/- 0 uM
YMDB02034,"PC(18:4(6Z,9Z,12Z,15Z)/P-18:1(11Z))",CHEBI:89358,C00157,0.038,0.0399,0.0361,0.038 +/- 0.0019 uM
YMDB02035,"PC(18:4(6Z,9Z,12Z,15Z)/P-18:1(9Z))",CHEBI:89356,C00157,0.038,0.0399,0.0361,0.038 +/- 0.0019 uM
YMDB02036,"PC(20:0/14:1(9Z))",,C00157,1,1,1,1 +/- 0 uM
YMDB02037,"PC(20:0/16:1(9Z))",,C00157,0.762,0.8001,0.7239,0.762 +/- 0.0381 uM
YMDB02038,"PC(20:0/18:3(6Z,9Z,12Z))",CHEBI:89372,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB02039,"PC(20:0/18:3(9Z,12Z,15Z))",,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB02040,"PC(20:0/18:4(6Z,9Z,12Z,15Z))",,C00157,2,2,2,2 +/- 0 uM
YMDB02041,"PC(20:0/20:2(11Z,14Z))",CHEBI:86199,C00157,0.043,0.04515,0.04085,0.043 +/- 0.00215 uM
YMDB02042,"PC(20:0/20:3(5Z,8Z,11Z))",CHEBI:89369,C00157,0.007,0.00735,0.00665,0.007 +/- 0.00035 uM
YMDB02043,"PC(20:0/20:3(8Z,11Z,14Z))",,C00157,0.007,0.00735,0.00665,0.007 +/- 0.00035 uM
YMDB02044,"PC(20:0/20:4(5Z,8Z,11Z,14Z))",CHEBI:74970,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02045,"PC(20:0/20:4(8Z,11Z,14Z,17Z))",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02046,"PC(20:0/20:5(5Z,8Z,11Z,14Z,17Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02047,"PC(20:0/22:1(13Z))",CHEBI:86216,C00157,0.032,0.0336,0.0304,0.032 +/- 0.0016 uM
YMDB02048,"PC(20:0/22:2(13Z,16Z))",CHEBI:89384,C00157,0.01,0.0105,0.0095,0.01 +/- 0.0005 uM
YMDB02049,"PC(20:0/22:4(7Z,10Z,13Z,16Z))",CHEBI:89391,C00157,0.006,0.0063,0.0057,0.006 +/- 0.0003 uM
YMDB02050,"PC(20:1(11Z)/14:0)",CHEBI:89399,C00157,1,1,1,1 +/- 0 uM
YMDB02051,"PC(20:1(11Z)/14:1(9Z))",CHEBI:89403,C00157,3,3,3,3 +/- 0 uM
YMDB02052,"PC(20:1(11Z)/16:0)",CHEBI:89409,C00157,0.762,0.8001,0.7239,0.762 +/- 0.0381 uM
YMDB02053,"PC(20:1(11Z)/16:1(9Z))",CHEBI:89408,C00157,0.755,0.79275,0.71725,0.755 +/- 0.03775 uM
YMDB02054,"PC(20:1(11Z)/18:2(9Z,12Z))",CHEBI:89105,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB02055,"PC(20:1(11Z)/18:3(6Z,9Z,12Z))",CHEBI:89101,C00157,2,2,2,2 +/- 0 uM
YMDB02056,"PC(20:1(11Z)/18:3(9Z,12Z,15Z))",CHEBI:89102,C00157,2,2,2,2 +/- 0 uM
YMDB02057,"PC(20:1(11Z)/18:4(6Z,9Z,12Z,15Z))",CHEBI:89103,C00157,0.772,0.8106,0.7334,0.772 +/- 0.0386 uM
YMDB02058,"PC(20:1(11Z)/20:1(11Z))",CHEBI:86198,C00157,0.043,0.04515,0.04085,0.043 +/- 0.00215 uM
YMDB02059,"PC(20:1(11Z)/20:2(11Z,14Z))",CHEBI:89100,C00157,0.007,0.00735,0.00665,0.007 +/- 0.00035 uM
YMDB02060,"PC(20:1(11Z)/20:3(5Z,8Z,11Z))",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02061,"PC(20:1(11Z)/20:3(8Z,11Z,14Z))",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02062,"PC(20:1(11Z)/20:4(5Z,8Z,11Z,14Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02063,"PC(20:1(11Z)/20:4(8Z,11Z,14Z,17Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02064,"PC(20:1(11Z)/22:0)",CHEBI:89097,C00157,0.032,0.0336,0.0304,0.032 +/- 0.0016 uM
YMDB02065,"PC(20:1(11Z)/22:1(13Z))",CHEBI:89098,C00157,0.01,0.0105,0.0095,0.01 +/- 0.0005 uM
YMDB02066,"PC(20:1(11Z)/P-16:0)",CHEBI:89094,C00157,0.762,0.8001,0.7239,0.762 +/- 0.0381 uM
YMDB02067,"PC(20:2(11Z,14Z)/14:0)",CHEBI:89095,C00157,3,3,3,3 +/- 0 uM
YMDB02068,"PC(20:2(11Z,14Z)/14:1(9Z))",CHEBI:89096,C00157,0.109,0.11445,0.10355,0.109 +/- 0.00545 uM
YMDB02069,"PC(20:2(11Z,14Z)/16:0)",CHEBI:89077,C00157,0.755,0.79275,0.71725,0.755 +/- 0.03775 uM
YMDB02070,"PC(20:2(11Z,14Z)/16:1(9Z))",,C00157,1,1,1,1 +/- 0 uM
YMDB02071,"PC(20:2(11Z,14Z)/18:1(11Z))",,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB02072,"PC(20:2(11Z,14Z)/18:1(9Z))",CHEBI:89080,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
